Size Time
10000 0.00
10000 0.00
10000 0.00
10000 0.00
10000 0.00
20000 0.00
20000 0.01
20000 0.00
20000 0.00
20000 0.00
40000 0.02
40000 0.02
40000 0.02
40000 0.01
40000 0.02
80000 0.03
80000 0.03
80000 0.03
80000 0.03
80000 0.03
160000 0.07
160000 0.07
160000 0.07
160000 0.07
160000 0.07
320000 0.16
320000 0.16
320000 0.16
320000 0.16
320000 0.16
640000 0.29
640000 0.29
640000 0.29
640000 0.28
640000 0.30
1280000 0.61
1280000 0.61
1280000 0.62
1280000 0.61
1280000 0.61
2560000 1.29
2560000 1.28
2560000 1.28
2560000 1.29
2560000 1.28
