Size Time
10000 0.00
10000 0.00
10000 0.00
10000 0.00
10000 0.00
20000 0.01
20000 0.00
20000 0.01
20000 0.01
20000 0.01
40000 0.02
40000 0.02
40000 0.02
40000 0.02
40000 0.02
80000 0.06
80000 0.06
80000 0.06
80000 0.05
80000 0.05
160000 0.13
160000 0.12
160000 0.12
160000 0.12
160000 0.13
320000 0.27
320000 0.28
320000 0.28
320000 0.28
320000 0.28
640000 0.59
640000 0.59
640000 0.59
640000 0.59
640000 0.58
1280000 1.30
1280000 1.29
1280000 1.29
1280000 1.28
1280000 1.29
2560000 2.80
2560000 2.80
2560000 2.81
2560000 2.82
2560000 2.81
