Size Time
10000 0.00
10000 0.00
10000 0.00
10000 0.00
10000 0.00
20000 0.01
20000 0.01
20000 0.01
20000 0.01
20000 0.01
40000 0.02
40000 0.02
40000 0.02
40000 0.02
40000 0.02
80000 0.06
80000 0.05
80000 0.06
80000 0.06
80000 0.06
160000 0.10
160000 0.10
160000 0.10
160000 0.10
160000 0.10
320000 0.22
320000 0.21
320000 0.22
320000 0.22
320000 0.21
640000 0.46
640000 0.46
640000 0.48
640000 0.50
640000 0.47
1280000 1.08
1280000 1.14
1280000 1.02
1280000 0.92
1280000 0.95
2560000 2.04
2560000 1.97
2560000 1.94
2560000 1.90
2560000 1.91
