Size Time
10000 0.01
10000 0.01
10000 0.00
10000 0.00
10000 0.01
20000 0.01
20000 0.01
20000 0.01
20000 0.01
20000 0.01
40000 0.02
40000 0.02
40000 0.03
40000 0.02
40000 0.02
80000 0.06
80000 0.06
80000 0.06
80000 0.07
80000 0.07
160000 0.16
160000 0.16
160000 0.17
160000 0.18
160000 0.16
320000 0.36
320000 0.37
320000 0.36
320000 0.37
320000 0.36
640000 1.12
640000 0.90
640000 0.92
640000 1.02
640000 1.12
1280000 1.86
1280000 1.94
1280000 2.17
1280000 2.46
1280000 2.39
2560000 6.86
2560000 6.46
2560000 6.46
2560000 6.92
2560000 6.68
