Size Time
10000 0.00
10000 0.01
10000 0.00
10000 0.00
10000 0.00
20000 0.01
20000 0.02
20000 0.01
20000 0.02
20000 0.01
40000 0.04
40000 0.03
40000 0.03
40000 0.05
40000 0.03
80000 0.09
80000 0.07
80000 0.08
80000 0.07
80000 0.08
160000 0.16
160000 0.16
160000 0.17
160000 0.20
160000 0.20
320000 0.39
320000 0.39
320000 0.39
320000 0.39
320000 0.40
640000 0.75
640000 0.83
640000 0.77
640000 0.88
640000 0.81
1280000 1.66
1280000 1.74
1280000 1.83
1280000 1.75
1280000 1.90
2560000 3.99
2560000 3.96
2560000 3.80
2560000 3.82
2560000 4.01
